#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2016-04-17 00:00:00+00:00 2016-04-18 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
YBBN,2016-04-17 00:00,153.1292,-27.3917,73.40,60.80,64.69,220.00,8.00,0.00,30.06,M,6.21,M,FEW,SCT,M,M,3000.00,28000.00,M,M,M,YBBN 170000Z 22008KT 180V240 9999 FEW030 SCT280 23/16 Q1018 NOSIG
YBBN,2016-04-17 00:30,153.1292,-27.3917,77.00,62.60,61.13,170.00,4.00,0.00,30.06,M,6.21,M,FEW,SCT,M,M,3200.00,28000.00,M,M,M,YBBN 170030Z 17004KT 130V210 9999 FEW032 SCT280 25/17 Q1018 NOSIG
YBBN,2016-04-17 01:00,153.1292,-27.3917,78.80,62.60,57.60,120.00,6.00,0.00,30.06,M,6.21,M,FEW,SCT,M,M,3000.00,24000.00,M,M,M,YBBN 170100Z 12006KT 090V150 9999 FEW030 SCT240 26/17 Q1018 NOSIG
YBBN,2016-04-17 01:30,153.1292,-27.3917,78.80,62.60,57.60,120.00,7.00,0.00,30.03,M,6.21,M,SCT,SCT,M,M,3000.00,24000.00,M,M,M,YBBN 170130Z 12007KT 9999 SCT030 SCT240 26/17 Q1017 NOSIG
YBBN,2016-04-17 02:00,153.1292,-27.3917,78.80,62.60,57.60,100.00,8.00,0.00,30.03,M,6.21,M,SCT,SCT,M,M,3200.00,28000.00,M,M,M,YBBN 170200Z 10008KT 9999 SCT032 SCT280 26/17 Q1017
YBBN,2016-04-17 02:30,153.1292,-27.3917,80.60,62.60,54.30,110.00,8.00,0.00,30.00,M,6.21,M,BKN,M,M,M,3400.00,M,M,M,M,YBBN 170230Z 11008KT 9999 BKN034 27/17 Q1016 NOSIG
YBBN,2016-04-17 03:00,153.1292,-27.3917,77.00,60.80,57.36,100.00,8.00,0.00,30.00,M,6.21,M,FEW,SCT,BKN,FEW,2300.00,3500.00,28000.00,3600.00,-SHRA,YBBN 170300Z 10008KT 9999 -SHRA FEW023 SCT035 BKN280 FEW036TCU 25/16 Q1016
YBBN,2016-04-17 03:30,153.1292,-27.3917,78.80,62.60,57.60,120.00,8.00,0.00,30.00,M,6.21,M,SCT,SCT,FEW,M,3500.00,28000.00,3600.00,M,VCSH,YBBN 170330Z 12008KT 9999 VCSH SCT035 SCT280 FEW036TCU 26/17 Q1016 NOSIG
YBBN,2016-04-17 04:00,153.1292,-27.3917,77.00,62.60,61.13,90.00,7.00,0.00,30.00,M,6.21,M,FEW,SCT,FEW,M,3300.00,30000.00,3500.00,M,VCSH,YBBN 170400Z 09007KT 9999 VCSH FEW033 SCT300 FEW035TCU 25/17 Q1016
YBBN,2016-04-17 04:30,153.1292,-27.3917,78.80,62.60,57.60,90.00,8.00,0.00,29.97,M,6.21,M,FEW,SCT,M,M,3200.00,30000.00,M,M,M,YBBN 170430Z 09008KT 9999 FEW032 SCT300 26/17 Q1015 NOSIG
YBBN,2016-04-17 05:00,153.1292,-27.3917,78.80,62.60,57.60,110.00,9.00,0.00,29.97,M,6.21,M,FEW,BKN,M,M,2400.00,30000.00,M,M,M,YBBN 170500Z 11009KT 9999 FEW024 BKN300 26/17 Q1015
YBBN,2016-04-17 05:30,153.1292,-27.3917,77.00,60.80,57.36,90.00,8.00,0.00,29.97,M,6.21,M,FEW,BKN,M,M,2400.00,30000.00,M,M,M,YBBN 170530Z 09008KT 9999 FEW024 BKN300 25/16 Q1015 NOSIG
YBBN,2016-04-17 06:00,153.1292,-27.3917,75.20,62.60,64.91,100.00,6.00,0.00,29.97,M,6.21,M,FEW,BKN,M,M,2800.00,30000.00,M,M,M,YBBN 170600Z 10006KT 9999 FEW028 BKN300 24/17 Q1015 NOSIG
YBBN,2016-04-17 06:30,153.1292,-27.3917,75.20,60.80,60.90,90.00,7.00,0.00,30.00,M,6.21,M,FEW,BKN,M,M,2800.00,30000.00,M,M,M,YBBN 170630Z 09007KT 9999 FEW028 BKN300 24/16 Q1016 NOSIG
YBBN,2016-04-17 07:00,153.1292,-27.3917,75.20,60.80,60.90,90.00,6.00,0.00,30.00,M,6.21,M,FEW,BKN,M,M,2700.00,30000.00,M,M,M,YBBN 170700Z 09006KT 9999 FEW027 BKN300 24/16 Q1016 NOSIG
YBBN,2016-04-17 07:30,153.1292,-27.3917,73.40,60.80,64.69,110.00,6.00,0.00,30.00,M,6.21,M,FEW,BKN,M,M,2400.00,30000.00,M,M,M,YBBN 170730Z 11006KT 9999 FEW024 BKN300 23/16 Q1016 NOSIG
YBBN,2016-04-17 08:00,153.1292,-27.3917,73.40,62.60,68.94,100.00,6.00,0.00,30.00,M,6.21,M,FEW,BKN,M,M,2400.00,30000.00,M,M,M,YBBN 170800Z 10006KT 9999 FEW024 BKN300 23/17 Q1016 NOSIG
YBBN,2016-04-17 08:30,153.1292,-27.3917,73.40,60.80,64.69,110.00,7.00,0.00,30.00,M,6.21,M,FEW,BKN,M,M,3000.00,30000.00,M,M,M,YBBN 170830Z 11007KT 9999 FEW030 BKN300 23/16 Q1016 NOSIG
YBBN,2016-04-17 09:00,153.1292,-27.3917,73.40,62.60,68.94,110.00,6.00,0.00,30.03,M,6.21,M,FEW,BKN,M,M,2400.00,30000.00,M,M,M,YBBN 170900Z 11006KT 9999 FEW024 BKN300 23/17 Q1017 NOSIG
YBBN,2016-04-17 09:30,153.1292,-27.3917,73.40,62.60,68.94,110.00,5.00,0.00,30.03,M,6.21,M,FEW,BKN,M,M,2400.00,30000.00,M,M,M,YBBN 170930Z 11005KT 9999 FEW024 BKN300 23/17 Q1017
YBBN,2016-04-17 10:00,153.1292,-27.3917,73.40,62.60,68.94,120.00,5.00,0.00,30.03,M,6.21,M,FEW,BKN,M,M,2400.00,30000.00,M,M,M,YBBN 171000Z 12005KT 9999 FEW024 BKN300 23/17 Q1017
YBBN,2016-04-17 10:30,153.1292,-27.3917,69.80,62.60,77.90,120.00,3.00,0.00,30.03,M,6.21,M,FEW,SCT,M,M,2000.00,30000.00,M,M,M,YBBN 171030Z 12003KT 9999 FEW020TCU SCT300 21/17 Q1017 NOSIG
YBBN,2016-04-17 11:00,153.1292,-27.3917,68.00,62.60,82.86,200.00,4.00,0.00,30.03,M,6.21,M,FEW,SCT,M,M,4000.00,30000.00,M,M,M,YBBN 171100Z 20004KT 9999 FEW040 SCT300 20/17 Q1017
YBBN,2016-04-17 11:30,153.1292,-27.3917,68.00,62.60,82.86,200.00,4.00,0.00,30.03,M,6.21,M,M,M,M,M,M,M,M,M,M,YBBN 171130Z 20004KT CAVOK 20/17 Q1017 NOSIG
YBBN,2016-04-17 12:00,153.1292,-27.3917,69.80,62.60,77.90,190.00,5.00,0.00,30.03,M,6.21,M,M,M,M,M,M,M,M,M,M,YBBN 171200Z 19005KT CAVOK 21/17 Q1017
YBBN,2016-04-17 12:30,153.1292,-27.3917,69.80,60.80,73.09,180.00,4.00,0.00,30.03,M,6.21,M,M,M,M,M,M,M,M,M,M,YBBN 171230Z 18004KT CAVOK 21/16 Q1017 NOSIG
YBBN,2016-04-17 13:00,153.1292,-27.3917,68.00,60.80,77.75,180.00,5.00,0.00,30.03,M,6.21,M,M,M,M,M,M,M,M,M,M,YBBN 171300Z 18005KT CAVOK 20/16 Q1017 NOSIG
YBBN,2016-04-17 13:30,153.1292,-27.3917,68.00,60.80,77.75,190.00,4.00,0.00,30.03,M,6.21,M,M,M,M,M,M,M,M,M,M,YBBN 171330Z 19004KT CAVOK 20/16 Q1017 NOSIG
