#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2010-04-07 00:00:00+00:00 2010-04-08 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
YBBN,2010-04-07 00:00,153.1292,-27.3917,77.00,62.60,61.13,100.00,2.00,M,30.15,M,6.21,M,FEW,BKN,M,M,2700.00,26000.00,M,M,M,YBBN 070000Z 10002KT 9999 FEW027 BKN260 25/17 Q1021 NOSIG
YBBN,2010-04-07 00:30,153.1292,-27.3917,77.00,59.00,53.80,60.00,4.00,M,30.15,M,6.21,M,FEW,SCT,BKN,M,3000.00,16000.00,26000.00,M,M,YBBN 070030Z 06004KT 9999 FEW030 SCT160 BKN260 25/15 Q1021 NOSIG
YBBN,2010-04-07 01:00,153.1292,-27.3917,77.00,60.80,57.36,350.00,6.00,M,30.12,M,6.21,M,SCT,SCT,BKN,M,3300.00,18000.00,26000.00,M,M,YBBN 070100Z 35006KT 9999 SCT033 SCT180 BKN260 25/16 Q1020 NOSIG
YBBN,2010-04-07 01:30,153.1292,-27.3917,77.00,60.80,57.36,350.00,6.00,M,30.12,M,6.21,M,SCT,BKN,M,M,3500.00,26000.00,M,M,M,YBBN 070130Z 35006KT 9999 SCT035 BKN260 25/16 Q1020 NOSIG
YBBN,2010-04-07 02:00,153.1292,-27.3917,78.80,62.60,57.60,30.00,6.00,M,30.12,M,6.21,M,SCT,BKN,M,M,3600.00,26000.00,M,M,M,YBBN 070200Z 03006KT 9999 SCT036 BKN260 26/17 Q1020 NOSIG
YBBN,2010-04-07 02:30,153.1292,-27.3917,78.80,60.80,54.05,10.00,6.00,M,30.09,M,6.21,M,FEW,BKN,M,M,3600.00,26000.00,M,M,M,YBBN 070230Z 01006KT 9999 FEW036 BKN260 26/16 Q1019 NOSIG
YBBN,2010-04-07 03:00,153.1292,-27.3917,78.80,60.80,54.05,360.00,7.00,M,30.09,M,6.21,M,FEW,BKN,M,M,3600.00,26000.00,M,M,M,YBBN 070300Z 36007KT 9999 FEW036 BKN260 26/16 Q1019 NOSIG
YBBN,2010-04-07 03:30,153.1292,-27.3917,78.80,60.80,54.05,350.00,7.00,M,30.06,M,6.21,M,FEW,BKN,M,M,3700.00,27000.00,M,M,M,YBBN 070330Z 35007KT 9999 FEW037 BKN270 26/16 Q1018 NOSIG
YBBN,2010-04-07 04:00,153.1292,-27.3917,78.80,62.60,57.60,360.00,8.00,M,30.06,M,6.21,M,FEW,BKN,M,M,3700.00,27000.00,M,M,M,YBBN 070400Z 36008KT 9999 FEW037 BKN270 26/17 Q1018 NOSIG
YBBN,2010-04-07 04:30,153.1292,-27.3917,77.00,62.60,61.13,10.00,7.00,M,30.06,M,6.21,M,FEW,BKN,M,M,3600.00,27000.00,M,M,M,YBBN 070430Z 01007KT 9999 FEW036 BKN270 25/17 Q1018 RMK SMOKE TO NORTH NOSIG
YBBN,2010-04-07 05:00,153.1292,-27.3917,77.00,62.60,61.13,20.00,7.00,M,30.06,M,6.21,M,FEW,BKN,M,M,3400.00,27000.00,M,M,M,YBBN 070500Z 02007KT 9999 FEW034 BKN270 25/17 Q1018 RMK SMOKE TO NORTH NOSIG
YBBN,2010-04-07 05:30,153.1292,-27.3917,77.00,60.80,57.36,20.00,8.00,M,30.06,M,6.21,M,FEW,BKN,M,M,3300.00,27000.00,M,M,M,YBBN 070530Z 02008KT 9999 FEW033 BKN270 25/16 Q1018 RMK SMOKE TO NORTH NOSIG
