#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2014-03-15 00:00:00+00:00 2014-03-16 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
YBBN,2014-03-15 00:00,153.1292,-27.3917,77.00,62.60,61.13,260.00,3.00,0.00,29.97,M,6.21,M,SCT,M,M,M,3000.00,M,M,M,M,YBBN 150000Z 26003KT 9999 SCT030 25/17 Q1015 FM0200 05008KT 9999 FEW040
YBBN,2014-03-15 00:30,153.1292,-27.3917,78.80,62.60,57.60,30.00,7.00,0.00,29.94,M,6.21,M,SCT,M,M,M,3200.00,M,M,M,M,YBBN 150030Z 03007KT 9999 SCT032 26/17 Q1014
YBBN,2014-03-15 01:00,153.1292,-27.3917,80.60,60.80,50.95,40.00,8.00,0.00,29.94,M,6.21,M,SCT,M,M,M,3500.00,M,M,M,M,YBBN 150100Z 04008KT 9999 SCT035 27/16 Q1014
YBBN,2014-03-15 01:30,153.1292,-27.3917,80.60,60.80,50.95,20.00,10.00,0.00,29.94,M,6.21,M,SCT,M,M,M,3500.00,M,M,M,M,YBBN 150130Z 02010KT 9999 SCT035 27/16 Q1014
YBBN,2014-03-15 02:00,153.1292,-27.3917,82.40,60.80,48.05,30.00,10.00,0.00,29.91,M,6.21,M,FEW,M,M,M,3600.00,M,M,M,M,YBBN 150200Z 03010KT 9999 FEW036 28/16 Q1013 NOSIG
YBBN,2014-03-15 02:30,153.1292,-27.3917,80.60,59.00,47.79,30.00,11.00,0.00,29.91,M,6.21,M,FEW,M,M,M,4000.00,M,M,M,M,YBBN 150230Z 03011KT 9999 FEW040 27/15 Q1013
YBBN,2014-03-15 03:00,153.1292,-27.3917,80.60,60.80,50.95,30.00,12.00,0.00,29.88,M,6.21,M,FEW,M,M,M,4000.00,M,M,M,M,YBBN 150300Z 03012KT 9999 FEW040 27/16 Q1012
YBBN,2014-03-15 03:30,153.1292,-27.3917,80.60,62.60,54.30,40.00,14.00,0.00,29.88,M,6.21,M,FEW,M,M,M,4000.00,M,M,M,M,YBBN 150330Z 04014KT 9999 FEW040 27/17 Q1012
YBBN,2014-03-15 04:00,153.1292,-27.3917,80.60,62.60,54.30,40.00,13.00,0.00,29.88,M,6.21,M,FEW,M,M,M,4000.00,M,M,M,M,YBBN 150400Z 04013KT 9999 FEW040 27/17 Q1012
YBBN,2014-03-15 04:30,153.1292,-27.3917,80.60,62.60,54.30,40.00,13.00,0.00,29.85,M,6.21,M,FEW,M,M,M,3700.00,M,M,M,M,YBBN 150430Z 04013KT 9999 FEW037 27/17 Q1011
YBBN,2014-03-15 05:00,153.1292,-27.3917,80.60,62.60,54.30,30.00,12.00,0.00,29.85,M,6.21,M,FEW,M,M,M,3700.00,M,M,M,M,YBBN 150500Z 03012KT 9999 FEW037 27/17 Q1011
