#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2012-08-16 00:00:00+00:00 2012-08-17 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
YBBN,2012-08-16 00:00,153.1292,-27.3917,66.20,46.40,48.83,10.00,6.00,0.00,30.06,M,6.21,M,M,M,M,M,M,M,M,M,M,YBBN 160000Z 01006KT CAVOK 19/08 Q1018 NOSIG
YBBN,2012-08-16 00:30,153.1292,-27.3917,68.00,48.20,49.10,20.00,6.00,0.00,30.06,M,6.21,M,M,M,M,M,M,M,M,M,M,YBBN 160030Z 02006KT CAVOK 20/09 Q1018
YBBN,2012-08-16 01:00,153.1292,-27.3917,68.00,46.40,45.88,20.00,7.00,0.00,30.03,M,6.21,M,M,M,M,M,M,M,M,M,M,YBBN 160100Z 02007KT CAVOK 20/08 Q1017 NOSIG
YBBN,2012-08-16 01:30,153.1292,-27.3917,69.80,46.40,43.13,30.00,7.00,0.00,30.03,M,6.21,M,FEW,M,M,M,4500.00,M,M,M,M,YBBN 160130Z 03007KT 9999 FEW045 21/08 Q1017 RMK SMOKE HAZE
YBBN,2012-08-16 02:00,153.1292,-27.3917,69.80,48.20,46.16,30.00,7.00,0.00,30.00,M,6.21,M,FEW,M,M,M,4500.00,M,M,M,M,YBBN 160200Z 03007KT 9999 FEW045 21/09 Q1016 RMK SMOKE HAZE
YBBN,2012-08-16 02:30,153.1292,-27.3917,71.60,50.00,46.43,20.00,8.00,0.00,30.00,M,6.21,M,FEW,M,M,M,4500.00,M,M,M,M,YBBN 160230Z 02008KT 9999 FEW045 22/10 Q1016
YBBN,2012-08-16 03:00,153.1292,-27.3917,71.60,50.00,46.43,50.00,9.00,0.00,29.97,M,6.21,M,FEW,M,M,M,4500.00,M,M,M,M,YBBN 160300Z 05009KT 9999 FEW045 22/10 Q1015 NOSIG
YBBN,2012-08-16 03:30,153.1292,-27.3917,73.40,53.60,49.90,50.00,9.00,0.00,29.97,M,6.21,M,FEW,M,M,M,4000.00,M,M,M,M,YBBN 160330Z 05009KT 9999 FEW040 23/12 Q1015
YBBN,2012-08-16 04:00,153.1292,-27.3917,73.40,55.40,53.29,40.00,12.00,0.00,29.94,M,6.21,M,FEW,M,M,M,4000.00,M,M,M,M,YBBN 160400Z 04012KT 9999 FEW040 23/13 Q1014 NOSIG
YBBN,2012-08-16 04:30,153.1292,-27.3917,71.60,55.40,56.63,20.00,16.00,0.00,29.91,M,6.21,M,FEW,M,M,M,3500.00,M,M,M,M,YBBN 160430Z 02016KT 9999 FEW035 22/13 Q1013
YBBN,2012-08-16 05:00,153.1292,-27.3917,71.60,57.20,60.44,20.00,17.00,0.00,29.91,M,6.21,M,M,M,M,M,M,M,M,M,M,YBBN 160500Z 02017KT CAVOK 22/14 Q1013
YBBN,2012-08-16 05:30,153.1292,-27.3917,71.60,57.20,60.44,20.00,15.00,0.00,29.91,M,6.21,M,M,M,M,M,M,M,M,M,M,YBBN 160530Z 02015KT CAVOK 22/14 Q1013
YBBN,2012-08-16 06:00,153.1292,-27.3917,69.80,59.00,68.55,20.00,17.00,0.00,29.91,M,6.21,M,M,M,M,M,M,M,M,M,M,YBBN 160600Z 02017KT CAVOK 21/15 Q1013
YBBN,2012-08-16 06:30,153.1292,-27.3917,68.00,59.00,72.92,20.00,16.00,0.00,29.91,M,6.21,M,M,M,M,M,M,M,M,M,M,YBBN 160630Z 02016KT CAVOK 20/15 Q1013
YBBN,2012-08-16 07:00,153.1292,-27.3917,66.20,60.80,82.74,20.00,15.00,0.00,29.91,M,6.21,M,M,M,M,M,M,M,M,M,M,YBBN 160700Z 02015KT CAVOK 19/16 Q1013
YBBN,2012-08-16 07:30,153.1292,-27.3917,64.40,60.80,88.09,20.00,13.00,0.00,29.91,M,6.21,M,M,M,M,M,M,M,M,M,M,YBBN 160730Z 02013KT CAVOK 18/16 Q1013
YBBN,2012-08-16 08:00,153.1292,-27.3917,64.40,60.80,88.09,10.00,12.00,0.00,29.91,M,6.21,M,M,M,M,M,M,M,M,M,M,YBBN 160800Z 01012KT CAVOK 18/16 Q1013
YBBN,2012-08-16 08:30,153.1292,-27.3917,64.40,60.80,88.09,10.00,11.00,0.00,29.94,M,6.21,M,M,M,M,M,M,M,M,M,M,YBBN 160830Z 01011KT CAVOK 18/16 Q1014
YBBN,2012-08-16 09:00,153.1292,-27.3917,64.40,59.00,82.62,350.00,9.00,0.00,29.94,M,6.21,M,M,M,M,M,M,M,M,M,M,YBBN 160900Z 35009KT CAVOK 18/15 Q1014
YBBN,2012-08-16 09:30,153.1292,-27.3917,64.40,59.00,82.62,350.00,10.00,0.00,29.94,M,6.21,M,M,M,M,M,M,M,M,M,M,YBBN 160930Z 35010KT CAVOK 18/15 Q1014
YBBN,2012-08-16 10:00,153.1292,-27.3917,64.40,59.00,82.62,350.00,9.00,0.00,29.94,M,6.21,M,M,M,M,M,M,M,M,M,M,YBBN 161000Z 35009KT CAVOK 18/15 Q1014
YBBN,2012-08-16 10:30,153.1292,-27.3917,64.40,59.00,82.62,350.00,9.00,0.00,29.94,M,6.21,M,M,M,M,M,M,M,M,M,M,YBBN 161030Z 35009KT CAVOK 18/15 Q1014
YBBN,2012-08-16 11:00,153.1292,-27.3917,62.60,57.20,82.50,350.00,9.00,0.00,29.94,M,6.21,M,M,M,M,M,M,M,M,M,M,YBBN 161100Z 35009KT CAVOK 17/14 Q1014 NOSIG
YBBN,2012-08-16 12:00,153.1292,-27.3917,60.80,57.20,87.92,350.00,9.00,0.00,29.94,M,6.21,M,M,M,M,M,M,M,M,M,M,YBBN 161200Z 35009KT CAVOK 16/14 Q1014
YBBN,2012-08-16 12:30,153.1292,-27.3917,59.00,55.40,87.83,360.00,9.00,0.00,29.94,M,6.21,M,M,M,M,M,M,M,M,M,M,YBBN 161230Z 36009KT CAVOK 15/13 Q1014
YBBN,2012-08-16 13:00,153.1292,-27.3917,59.00,55.40,87.83,360.00,7.00,0.00,29.94,M,6.21,M,M,M,M,M,M,M,M,M,M,YBBN 161300Z 36007KT CAVOK 15/13 Q1014
YBBN,2012-08-16 13:30,153.1292,-27.3917,60.80,55.40,82.37,10.00,10.00,0.00,29.94,M,6.21,M,M,M,M,M,M,M,M,M,M,YBBN 161330Z 01010KT CAVOK 16/13 Q1014
YBBN,2012-08-16 14:00,153.1292,-27.3917,59.00,55.40,87.83,360.00,10.00,0.00,29.94,M,6.21,M,M,M,M,M,M,M,M,M,M,YBBN 161400Z 36010KT CAVOK 15/13 Q1014
YBBN,2012-08-16 14:30,153.1292,-27.3917,59.00,55.40,87.83,360.00,9.00,0.00,29.94,M,6.21,M,M,M,M,M,M,M,M,M,M,YBBN 161430Z 36009KT CAVOK 15/13 Q1014
YBBN,2012-08-16 15:00,153.1292,-27.3917,57.20,55.40,93.69,360.00,7.00,0.00,29.94,M,6.21,M,M,M,M,M,M,M,M,M,M,YBBN 161500Z 36007KT CAVOK 14/13 Q1014
YBBN,2012-08-16 15:30,153.1292,-27.3917,55.40,51.80,87.65,350.00,3.00,0.00,29.94,M,6.21,M,M,M,M,M,M,M,M,M,M,YBBN 161530Z 35003KT CAVOK 13/11 Q1014
YBBN,2012-08-16 16:00,153.1292,-27.3917,55.40,53.60,93.65,10.00,2.00,0.00,29.94,M,6.21,M,M,M,M,M,M,M,M,M,M,YBBN 161600Z 01002KT CAVOK 13/12 Q1014 NOSIG
YBBN,2012-08-16 16:30,153.1292,-27.3917,53.60,51.80,93.60,0.00,0.00,0.00,29.91,M,6.21,M,M,M,M,M,M,M,M,M,M,YBBN 161630Z 00000KT CAVOK 12/11 Q1013
YBBN,2012-08-16 17:00,153.1292,-27.3917,53.60,51.80,93.60,0.00,0.00,0.00,29.91,M,6.21,M,M,M,M,M,M,M,M,M,M,YBBN 161700Z 00000KT CAVOK 12/11 Q1013
YBBN,2012-08-16 17:30,153.1292,-27.3917,53.60,51.80,93.60,10.00,4.00,0.00,29.91,M,6.21,M,M,M,M,M,M,M,M,M,M,YBBN 161730Z 01004KT CAVOK 12/11 Q1013
YBBN,2012-08-16 18:00,153.1292,-27.3917,51.80,50.00,93.55,360.00,6.00,0.00,29.91,M,6.21,M,M,M,M,M,M,M,M,M,M,YBBN 161800Z 36006KT CAVOK 11/10 Q1013
YBBN,2012-08-16 18:30,153.1292,-27.3917,51.80,50.00,93.55,0.00,0.00,0.00,29.94,M,6.21,M,M,M,M,M,M,M,M,M,M,YBBN 161830Z 00000KT CAVOK 11/10 Q1014
