#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2015-11-09 00:00:00+00:00 2015-11-10 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
YBBN,2015-11-09 00:00,153.1292,-27.3917,69.80,64.40,82.98,150.00,7.00,0.00,30.00,M,6.21,M,FEW,SCT,BKN,M,1800.00,2200.00,3500.00,M,-SHRA,YBBN 090000Z 15007KT 9999 -SHRA FEW018 SCT022 BKN035 21/18 Q1016 RESHRA
YBBN,2015-11-09 00:30,153.1292,-27.3917,71.60,62.60,73.27,140.00,10.00,0.00,30.00,M,6.21,M,SCT,BKN,M,M,2400.00,5500.00,M,M,VCSH,YBBN 090030Z 14010KT 9999 VCSH SCT024 BKN055 22/17 Q1016 RESHRA
YBBN,2015-11-09 01:00,153.1292,-27.3917,73.40,59.00,60.67,140.00,12.00,0.00,30.00,M,6.21,M,SCT,BKN,M,M,3200.00,6500.00,M,M,M,YBBN 090100Z 14012KT 9999 SCT032 BKN065 23/15 Q1016
YBBN,2015-11-09 01:30,153.1292,-27.3917,75.20,59.00,57.12,130.00,11.00,0.00,30.00,M,6.21,M,SCT,SCT,BKN,M,3200.00,6000.00,12000.00,M,VCSH,YBBN 090130Z 13011KT 9999 VCSH SCT032 SCT060 BKN120 24/15 Q1016
YBBN,2015-11-09 02:00,153.1292,-27.3917,73.40,57.20,56.88,130.00,12.00,0.00,29.97,M,6.21,M,SCT,SCT,BKN,M,3800.00,5800.00,12000.00,M,VCSH,YBBN 090200Z 13012KT 9999 VCSH SCT038 SCT058 BKN120 23/14 Q1015
YBBN,2015-11-09 02:30,153.1292,-27.3917,73.40,59.00,60.67,130.00,12.00,0.00,29.97,M,6.21,M,FEW,BKN,M,M,3400.00,12000.00,M,M,M,YBBN 090230Z 13012KT 9999 FEW034 BKN120 23/15 Q1015
YBBN,2015-11-09 03:00,153.1292,-27.3917,73.40,59.00,60.67,110.00,13.00,0.00,29.97,M,6.21,M,FEW,BKN,M,M,3400.00,12500.00,M,M,M,YBBN 090300Z 11013KT 9999 FEW034 BKN125 23/15 Q1015
YBBN,2015-11-09 03:30,153.1292,-27.3917,73.40,59.00,60.67,120.00,13.00,0.00,29.97,M,6.21,M,FEW,BKN,M,M,3200.00,13500.00,M,M,M,YBBN 090330Z 12013KT 9999 FEW032 BKN135 23/15 Q1015
YBBN,2015-11-09 04:00,153.1292,-27.3917,73.40,59.00,60.67,130.00,11.00,0.00,29.94,M,6.21,M,FEW,BKN,M,M,3300.00,11000.00,M,M,VCSH,YBBN 090400Z 13011KT 9999 VCSH FEW033 BKN110 23/15 Q1014 NOSIG
YBBN,2015-11-09 04:30,153.1292,-27.3917,73.40,60.80,64.69,120.00,11.00,0.00,29.94,M,6.21,M,FEW,BKN,M,M,3500.00,11500.00,M,M,VCSH,YBBN 090430Z 12011KT 9999 VCSH FEW035 BKN115 23/16 Q1014
YBBN,2015-11-09 05:00,153.1292,-27.3917,73.40,59.00,60.67,130.00,10.00,0.00,29.94,M,6.21,M,FEW,SCT,BKN,M,3300.00,4000.00,13500.00,M,VCSH,YBBN 090500Z 13010KT 9999 VCSH FEW033 SCT040 BKN135 23/15 Q1014
YBBN,2015-11-09 05:30,153.1292,-27.3917,73.40,59.00,60.67,120.00,10.00,0.00,29.94,M,6.21,M,FEW,BKN,M,M,3000.00,13000.00,M,M,M,YBBN 090530Z 12010KT 9999 FEW030 BKN130 23/15 Q1014
YBBN,2015-11-09 06:00,153.1292,-27.3917,73.40,59.00,60.67,120.00,11.00,0.00,29.94,M,6.21,M,FEW,SCT,BKN,M,3300.00,12000.00,16000.00,M,M,YBBN 090600Z 12011KT 9999 FEW033 SCT120 BKN160 23/15 Q1014 NOSIG
YBBN,2015-11-09 06:30,153.1292,-27.3917,71.60,59.00,64.48,120.00,11.00,0.00,29.94,M,6.21,M,FEW,BKN,M,M,3200.00,17000.00,M,M,M,YBBN 090630Z 12011KT 9999 FEW032 BKN170 22/15 Q1014
