#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2016-11-24 00:00:00+00:00 2016-11-25 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
YBBN,2016-11-24 00:44,153.1292,-27.3917,84.20,69.80,62.03,90.00,12.00,0.00,29.77,M,6.21,M,FEW,M,M,M,4000.00,M,M,M,M,YBBN 240044Z 09012KT 9999 FEW040 29/21 Q1008
YBBN,2016-11-24 01:00,153.1292,-27.3917,82.40,66.20,58.08,110.00,13.00,0.00,29.77,M,6.21,M,FEW,M,M,M,4000.00,M,M,M,M,YBBN 240100Z 11013KT 9999 FEW040 28/19 Q1008
YBBN,2016-11-24 01:22,153.1292,-27.3917,82.40,66.20,58.08,110.00,15.00,0.00,29.77,M,6.21,25.00,FEW,M,M,M,4000.00,M,M,M,M,YBBN 240122Z 11015G25KT 9999 FEW040 28/19 Q1008
YBBN,2016-11-24 01:30,153.1292,-27.3917,82.40,66.20,58.08,110.00,15.00,0.00,29.77,M,6.21,25.00,FEW,M,M,M,4000.00,M,M,M,M,YBBN 240130Z 11015G25KT 9999 FEW040 28/19 Q1008
YBBN,2016-11-24 02:00,153.1292,-27.3917,80.60,68.00,65.54,110.00,14.00,0.00,29.74,M,6.21,M,FEW,M,M,M,4000.00,M,M,M,M,YBBN 240200Z 11014KT 9999 FEW040 27/20 Q1007 NOSIG
YBBN,2016-11-24 02:30,153.1292,-27.3917,82.40,68.00,61.81,120.00,14.00,0.00,29.74,M,6.21,24.00,FEW,M,M,M,4000.00,M,M,M,M,YBBN 240230Z 12014G24KT 9999 FEW040 28/20 Q1007 NOSIG
YBBN,2016-11-24 03:00,153.1292,-27.3917,80.60,68.00,65.54,120.00,15.00,0.00,29.74,M,6.21,M,FEW,M,M,M,4000.00,M,M,M,M,YBBN 240300Z 12015KT 9999 FEW040 27/20 Q1007 NOSIG
YBBN,2016-11-24 03:30,153.1292,-27.3917,80.60,68.00,65.54,110.00,15.00,0.00,29.74,M,6.21,M,FEW,M,M,M,4000.00,M,M,M,M,YBBN 240330Z 11015KT 9999 FEW040 27/20 Q1007 NOSIG
YBBN,2016-11-24 04:00,153.1292,-27.3917,80.60,68.00,65.54,110.00,15.00,0.00,29.74,M,6.21,M,FEW,M,M,M,4000.00,M,M,M,M,YBBN 240400Z 11015KT 9999 FEW040 27/20 Q1007 NOSIG
YBBN,2016-11-24 04:30,153.1292,-27.3917,78.80,66.20,65.33,120.00,14.00,0.00,29.74,M,6.21,M,FEW,M,M,M,4000.00,M,M,M,M,YBBN 240430Z 12014KT 9999 FEW040 26/19 Q1007 NOSIG
