#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2013-07-14 00:00:00+00:00 2013-07-15 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
YBBN,2013-07-14 00:00,153.1292,-27.3917,59.00,57.20,93.74,210.00,8.00,0.00,30.33,M,4.97,M,FEW,BKN,BKN,M,2300.00,3900.00,4700.00,M,-DZ,YBBN 140000Z 21008KT 8000 -DZ FEW023 BKN039 BKN047 15/14 Q1027
YBBN,2013-07-14 00:30,153.1292,-27.3917,59.00,57.20,93.74,220.00,10.00,0.00,30.33,M,6.21,M,FEW,BKN,BKN,M,2500.00,5100.00,7000.00,M,M,YBBN 140030Z 22010KT 9999 FEW025 BKN051 BKN070 15/14 Q1027
YBBN,2013-07-14 01:00,153.1292,-27.3917,60.80,57.20,87.92,210.00,8.00,0.00,30.30,M,6.21,M,FEW,BKN,M,M,1500.00,5100.00,M,M,M,YBBN 140100Z 21008KT 9999 FEW015 BKN051 16/14 Q1026
YBBN,2013-07-14 01:30,153.1292,-27.3917,60.80,57.20,87.92,190.00,9.00,0.00,30.30,M,6.21,M,FEW,BKN,BKN,M,3000.00,5900.00,7200.00,M,VCSH,YBBN 140130Z 19009KT 9999 VCSH FEW030 BKN059 BKN072 16/14 Q1026
YBBN,2013-07-14 02:00,153.1292,-27.3917,60.80,57.20,87.92,200.00,9.00,0.00,30.30,M,6.21,M,FEW,SCT,BKN,M,3000.00,4200.00,5400.00,M,M,YBBN 140200Z 20009KT 9999 FEW030 SCT042 BKN054 16/14 Q1026 INTER 0300/0500 3000 SHRA BKN015
YBBN,2013-07-14 02:30,153.1292,-27.3917,64.40,57.20,77.45,200.00,7.00,0.00,30.27,M,6.21,M,FEW,SCT,BKN,M,3500.00,4600.00,7000.00,M,M,YBBN 140230Z 20007KT 9999 FEW035 SCT046 BKN070 18/14 Q1025
YBBN,2013-07-14 03:00,153.1292,-27.3917,62.60,57.20,82.50,200.00,8.00,0.00,30.27,M,6.21,M,FEW,BKN,M,M,3500.00,5500.00,M,M,M,YBBN 140300Z 20008KT 9999 FEW035 BKN055 17/14 Q1025
YBBN,2013-07-14 03:30,153.1292,-27.3917,64.40,55.40,72.56,200.00,7.00,0.00,30.27,M,6.21,M,FEW,BKN,M,M,3500.00,5700.00,M,M,M,YBBN 140330Z 20007KT 9999 FEW035 BKN057 18/13 Q1025
YBBN,2013-07-14 04:00,153.1292,-27.3917,64.40,57.20,77.45,200.00,6.00,0.00,30.27,M,6.21,M,FEW,BKN,M,M,3000.00,5400.00,M,M,M,YBBN 140400Z 20006KT 9999 FEW030 BKN054 18/14 Q1025
YBBN,2013-07-14 04:30,153.1292,-27.3917,64.40,55.40,72.56,210.00,7.00,0.00,30.27,M,6.21,M,FEW,SCT,BKN,M,2500.00,5600.00,7600.00,M,M,YBBN 140430Z 21007KT 9999 FEW025 SCT056 BKN076 18/13 Q1025
YBBN,2013-07-14 05:00,153.1292,-27.3917,64.40,55.40,72.56,190.00,7.00,0.00,30.27,M,6.21,M,FEW,SCT,BKN,M,3000.00,5800.00,8000.00,M,M,YBBN 140500Z 19007KT 9999 FEW030 SCT058 BKN080 18/13 Q1025 INTER 0500/0800 3000 SHRA BKN015
YBBN,2013-07-14 05:30,153.1292,-27.3917,66.20,55.40,68.15,190.00,6.00,0.00,30.27,M,6.21,M,SCT,BKN,M,M,2400.00,8400.00,M,M,M,YBBN 140530Z 19006KT 9999 SCT024 BKN084 19/13 Q1025
YBBN,2013-07-14 06:00,153.1292,-27.3917,66.20,55.40,68.15,140.00,5.00,0.00,30.27,M,6.21,M,FEW,SCT,BKN,M,2200.00,2700.00,8600.00,M,M,YBBN 140600Z 14005KT 9999 FEW022 SCT027 BKN086 19/13 Q1025
YBBN,2013-07-14 06:30,153.1292,-27.3917,64.40,57.20,77.45,170.00,4.00,0.00,30.27,M,6.21,M,SCT,BKN,M,M,2400.00,8600.00,M,M,M,YBBN 140630Z 17004KT 9999 SCT024 BKN086 18/14 Q1025
YBBN,2013-07-14 07:00,153.1292,-27.3917,64.40,57.20,77.45,190.00,5.00,0.00,30.27,M,6.21,M,FEW,BKN,M,M,2400.00,8600.00,M,M,M,YBBN 140700Z 19005KT 9999 FEW024 BKN086 18/14 Q1025 INTER 0700/1000 3000 SHRA BKN015
YBBN,2013-07-14 07:30,153.1292,-27.3917,62.60,57.20,82.50,200.00,5.00,0.00,30.27,M,6.21,M,FEW,BKN,M,M,2400.00,8600.00,M,M,M,YBBN 140730Z 20005KT 9999 FEW024 BKN086 17/14 Q1025
YBBN,2013-07-14 08:00,153.1292,-27.3917,62.60,55.40,77.29,190.00,5.00,0.00,30.27,M,6.21,M,M,M,M,M,M,M,M,M,M,YBBN 140800Z 19005KT CAVOK 17/13 Q1025 INTER 0800/1100 3000 SHRA BKN015
YBBN,2013-07-14 08:30,153.1292,-27.3917,60.80,55.40,82.37,190.00,5.00,0.00,30.30,M,6.21,M,FEW,BKN,M,M,2200.00,8800.00,M,M,M,YBBN 140830Z 19005KT 9999 FEW022 BKN088 16/13 Q1026
YBBN,2013-07-14 09:00,153.1292,-27.3917,59.00,55.40,87.83,200.00,6.00,0.00,30.30,M,6.21,M,FEW,SCT,M,M,2200.00,8000.00,M,M,VCSH,YBBN 140900Z 20006KT 9999 VCSH FEW022 SCT080 15/13 Q1026
YBBN,2013-07-14 09:30,153.1292,-27.3917,59.00,55.40,87.83,190.00,5.00,0.00,30.30,M,6.21,M,M,M,M,M,M,M,M,M,M,YBBN 140930Z 19005KT CAVOK 15/13 Q1026
YBBN,2013-07-14 10:00,153.1292,-27.3917,59.00,55.40,87.83,130.00,3.00,0.00,30.30,M,6.21,M,M,M,M,M,M,M,M,M,M,YBBN 141000Z 13003KT CAVOK 15/13 Q1026
YBBN,2013-07-14 10:30,153.1292,-27.3917,59.00,57.20,93.74,100.00,2.00,0.00,30.30,M,6.21,M,FEW,SCT,M,M,3700.00,7900.00,M,M,M,YBBN 141030Z 10002KT 9999 FEW037 SCT079 15/14 Q1026
YBBN,2013-07-14 11:00,153.1292,-27.3917,57.20,57.20,100.00,70.00,3.00,0.00,30.30,M,6.21,M,FEW,BKN,M,M,3700.00,26000.00,M,M,M,YBBN 141100Z 07003KT 9999 FEW037 BKN260 14/14 Q1026 INTER 1100/1400 3000 SHRA BKN015
YBBN,2013-07-14 11:30,153.1292,-27.3917,57.20,55.40,93.69,0.00,0.00,0.00,30.30,M,6.21,M,FEW,SCT,M,M,3500.00,24000.00,M,M,M,YBBN 141130Z 00000KT 9999 FEW035 SCT240 14/13 Q1026
YBBN,2013-07-14 12:00,153.1292,-27.3917,57.20,55.40,93.69,150.00,3.00,0.00,30.30,M,6.21,M,FEW,BKN,M,M,3500.00,21500.00,M,M,M,YBBN 141200Z 15003KT 9999 FEW035 BKN215 14/13 Q1026 INTER 1200/1500 3000 SHRA BKN015
YBBN,2013-07-14 12:30,153.1292,-27.3917,57.20,55.40,93.69,160.00,3.00,0.00,30.30,M,6.21,M,FEW,SCT,M,M,3500.00,22000.00,M,M,M,YBBN 141230Z 16003KT 9999 FEW035 SCT220 14/13 Q1026
YBBN,2013-07-14 13:00,153.1292,-27.3917,57.20,55.40,93.69,170.00,1.00,0.00,30.30,M,6.21,M,FEW,SCT,M,M,3500.00,20500.00,M,M,M,YBBN 141300Z 17001KT 9999 FEW035 SCT205 14/13 Q1026
YBBN,2013-07-14 13:30,153.1292,-27.3917,55.40,55.40,100.00,220.00,3.00,0.00,30.27,M,6.21,M,FEW,BKN,M,M,3500.00,22000.00,M,M,M,YBBN 141330Z 22003KT 9999 FEW035 BKN220 13/13 Q1025
YBBN,2013-07-14 14:00,153.1292,-27.3917,55.40,55.40,100.00,220.00,4.00,0.00,30.27,M,6.21,M,FEW,SCT,M,M,3500.00,18000.00,M,M,M,YBBN 141400Z 22004KT 9999 FEW035 SCT180 13/13 Q1025
YBBN,2013-07-14 14:30,153.1292,-27.3917,57.20,55.40,93.69,190.00,5.00,0.00,30.27,M,6.21,M,FEW,SCT,M,M,3500.00,18000.00,M,M,M,YBBN 141430Z 19005KT 9999 FEW035 SCT180 14/13 Q1025
YBBN,2013-07-14 15:00,153.1292,-27.3917,57.20,55.40,93.69,190.00,4.00,0.00,30.27,M,6.21,M,FEW,SCT,M,M,1800.00,4000.00,M,M,VCSH,YBBN 141500Z 19004KT 9999 VCSH FEW018 SCT040 14/13 Q1025 INTER 1500/1800 3000 SHRA BKN015
YBBN,2013-07-14 15:30,153.1292,-27.3917,55.40,55.40,100.00,210.00,2.00,0.00,30.27,M,6.21,M,FEW,SCT,M,M,1800.00,2500.00,M,M,M,YBBN 141530Z 21002KT 9999 FEW018 SCT025 13/13 Q1025
YBBN,2013-07-14 16:00,153.1292,-27.3917,57.20,57.20,100.00,210.00,6.00,0.00,30.24,M,6.21,M,FEW,SCT,M,M,2000.00,4500.00,M,M,M,YBBN 141600Z 21006KT 9999 FEW020 SCT045 14/14 Q1024
YBBN,2013-07-14 16:30,153.1292,-27.3917,57.20,57.20,100.00,220.00,6.00,0.00,30.24,M,6.21,M,FEW,BKN,M,M,2500.00,5500.00,M,M,VCSH,YBBN 141630Z 22006KT 9999 VCSH FEW025 BKN055 14/14 Q1024
YBBN,2013-07-14 17:00,153.1292,-27.3917,57.20,55.40,93.69,200.00,7.00,0.00,30.24,M,6.21,M,FEW,BKN,M,M,2500.00,7500.00,M,M,VCSH,YBBN 141700Z 20007KT 9999 VCSH FEW025 BKN075 14/13 Q1024
YBBN,2013-07-14 17:30,153.1292,-27.3917,57.20,55.40,93.69,200.00,7.00,0.00,30.24,M,6.21,M,FEW,BKN,M,M,1800.00,8000.00,M,M,VCSH,YBBN 141730Z 20007KT 9999 VCSH FEW018 BKN080 14/13 Q1024
YBBN,2013-07-14 18:00,153.1292,-27.3917,57.20,55.40,93.69,170.00,5.00,0.00,30.24,M,5.59,M,FEW,SCT,BKN,M,1800.00,4500.00,8000.00,M,DZ,YBBN 141800Z 17005KT 9000 DZ FEW018 SCT045 BKN080 14/13 Q1024
YBBN,2013-07-14 18:30,153.1292,-27.3917,57.20,55.40,93.69,190.00,3.00,0.00,30.24,M,6.21,M,FEW,BKN,M,M,2000.00,4500.00,M,M,-DZ,YBBN 141830Z 19003KT 9999 -DZ FEW020 BKN045 14/13 Q1024
YBBN,2013-07-14 19:00,153.1292,-27.3917,57.20,55.40,93.69,210.00,7.00,0.00,30.24,M,6.21,M,FEW,BKN,M,M,2000.00,5500.00,M,M,M,YBBN 141900Z 21007KT 9999 FEW020 BKN055 14/13 Q1024
YBBN,2013-07-14 19:30,153.1292,-27.3917,57.20,55.40,93.69,220.00,9.00,0.00,30.24,M,6.21,M,FEW,BKN,M,M,1200.00,6500.00,M,M,-SHRA,YBBN 141930Z 22009KT 9999 -SHRA FEW012 BKN065 14/13 Q1024
YBBN,2013-07-14 20:00,153.1292,-27.3917,55.40,55.40,100.00,210.00,7.00,0.00,30.27,M,6.21,M,FEW,BKN,M,M,1200.00,6500.00,M,M,M,YBBN 142000Z 21007KT 9999 FEW012 BKN065 13/13 Q1025
YBBN,2013-07-14 20:30,153.1292,-27.3917,57.20,53.60,87.74,180.00,5.00,0.00,30.27,M,6.21,M,FEW,BKN,M,M,2200.00,6500.00,M,M,M,YBBN 142030Z 18005KT 9999 FEW022 BKN065 14/12 Q1025
YBBN,2013-07-14 21:00,153.1292,-27.3917,55.40,53.60,93.65,200.00,7.00,0.00,30.30,M,6.21,M,FEW,SCT,M,M,2200.00,3500.00,M,M,M,YBBN 142100Z 20007KT 9999 FEW022 SCT035 13/12 Q1026 RMK HAZE
YBBN,2013-07-14 21:30,153.1292,-27.3917,55.40,53.60,93.65,210.00,7.00,0.00,30.30,M,6.21,M,FEW,BKN,M,M,2000.00,3500.00,M,M,M,YBBN 142130Z 21007KT 9999 FEW020 BKN035 13/12 Q1026 RMK HAZE
YBBN,2013-07-14 22:00,153.1292,-27.3917,57.20,55.40,93.69,210.00,9.00,0.00,30.30,M,6.21,M,FEW,SCT,BKN,M,2000.00,3500.00,5500.00,M,M,YBBN 142200Z 21009KT 9999 FEW020 SCT035 BKN055 14/13 Q1026 RMK HAZE
