#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2016-06-25 00:00:00+00:00 2016-06-26 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
YBBN,2016-06-25 00:00,153.1292,-27.3917,59.00,28.40,30.98,250.00,12.00,0.00,30.09,M,6.21,M,M,M,M,M,M,M,M,M,M,YBBN 250000Z 25012KT CAVOK 15/M02 Q1019
YBBN,2016-06-25 00:30,153.1292,-27.3917,59.00,28.40,30.98,240.00,14.00,0.00,30.06,M,6.21,M,M,M,M,M,M,M,M,M,M,YBBN 250030Z 24014KT CAVOK 15/M02 Q1018 NOSIG
YBBN,2016-06-25 01:00,153.1292,-27.3917,60.80,28.40,29.06,250.00,14.00,0.00,30.06,M,6.21,M,M,M,M,M,M,M,M,M,M,YBBN 250100Z 25014KT CAVOK 16/M02 Q1018 NOSIG
YBBN,2016-06-25 01:30,153.1292,-27.3917,60.80,26.60,26.98,250.00,13.00,0.00,30.06,M,6.21,M,M,M,M,M,M,M,M,M,M,YBBN 250130Z 25013KT CAVOK 16/M03 Q1018 NOSIG
YBBN,2016-06-25 02:00,153.1292,-27.3917,60.80,26.60,26.98,230.00,14.00,0.00,30.06,M,6.21,M,M,M,M,M,M,M,M,M,M,YBBN 250200Z 23014KT CAVOK 16/M03 Q1018
YBBN,2016-06-25 02:30,153.1292,-27.3917,62.60,24.80,23.50,220.00,11.00,0.00,30.03,M,6.21,M,M,M,M,M,M,M,M,M,M,YBBN 250230Z 22011KT CAVOK 17/M04 Q1017 NOSIG
YBBN,2016-06-25 03:00,153.1292,-27.3917,62.60,24.80,23.50,260.00,12.00,0.00,30.03,M,6.21,M,M,M,M,M,M,M,M,M,M,YBBN 250300Z 26012KT CAVOK 17/M04 Q1017
YBBN,2016-06-25 03:30,153.1292,-27.3917,62.60,24.80,23.50,220.00,11.00,0.00,30.03,M,6.21,M,M,M,M,M,M,M,M,M,M,YBBN 250330Z 22011KT CAVOK 17/M04 Q1017 NOSIG
YBBN,2016-06-25 04:00,153.1292,-27.3917,62.60,28.40,27.27,250.00,11.00,0.00,30.03,M,6.21,M,M,M,M,M,M,M,M,M,M,YBBN 250400Z 25011KT CAVOK 17/M02 Q1017 NOSIG
YBBN,2016-06-25 04:30,153.1292,-27.3917,62.60,24.80,23.50,200.00,9.00,0.00,30.03,M,6.21,M,M,M,M,M,M,M,M,M,M,YBBN 250430Z 20009KT 180V250 CAVOK 17/M04 Q1017 NOSIG
